Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
49.0,Plot14,2015-08-25,2015,20,11:07:00,11:59:00,52,Wachendorfia paniculata,?,Bulb,,,0.035,15.88,30.0,,146,
58.0,Plot15,2015-08-25,2015,20,13:55:00,14:31:00,36,Babiana ambigua,bobbejaantjie,Corm,,,0.03,13.61,3.0,,147,
62.0,Plot15,2015-08-25,2015,20,13:55:00,14:31:00,36,Pelargonium triste,kaneelbol,Tuber,,,0.045,20.41,1.0,1,148,
,Plot13,2017-12-31,2017,21,14:43:00,15:40:00,57,Prionium serratum,palmiet,Meristem,,,1.175,532.97,18.0,,149,author species exclusion
80.0,Plot17,2016-09-03,2016,22,08:44:00,09:33:00,49,Euphorbia burmannii,bobbejaanbolle,,,,0.32,145.15,56.0,,150,author species exclusion
122.0,Plot20,2016-09-03,2016,22,14:30:00,15:31:00,61,Babiana patula,bobbejaantjie,Corm,,,0.07,31.75,8.0,,151,
156.0,Plot06,2016-09-03,2016,22,10:15:00,11:01:00,46,Chasmanthe aethiopica,pypie,Corm,,,0.22,99.79,29.0,,152,
161.0,Plot07,2016-09-03,2016,22,11:29:00,12:15:00,46,Albuca fragrans,,Bulb,,,0.08,36.29,1.0,,153,
163.0,Plot07,2016-09-03,2016,22,11:29:00,12:15:00,46,Gladiolus carinatus,Blue bell,Corm,,,0.001,0.45,1.0,,154,
164.0,Plot07,2016-09-03,2016,22,11:29:00,12:15:00,46,Babiana tubulosa,bobbejaantjie (Babiana white),Corm,,,0.06,27.22,1.0,,155,
167.0,Plot07,2016-09-03,2016,22,11:29:00,12:15:00,46,Satyrium carneum,?,Tuber,,,0.83,376.48,65.0,,156,
39.0,Plot13,2016-10-19,2016,23,14:41:00,15:27:00,46,Prionium serratum,palmiet,Meristem,,,6.04,2739.7,31.0,,157,author species exclusion
3.0,Plot01,2015-09-03,2015,24,13:59:00,16:46:00,167,Cyphia digitata,baroe,Tuber,,,0.1,45.36,1.0,,158,
5.0,Plot01,2016-09-01,2016,24,13:40:00,14:42:00,62,Babiana patula,bobbejaantjie,Corm,,,0.08,36.29,6.0,,159,
19.0,Plot11,2016-09-01,2016,24,11:20:00,12:02:00,42,Conicosia pugioniformis,varkwortel,Root,1.12,13.0,0.32,145.15,13.0,,160,
20.0,Plot11,2016-09-01,2016,24,11:20:00,12:02:00,42,Pelargonium triste,kaneelbol,Tuber,0.13,1.0,0.08,36.29,1.0,,161,
21.0,Plot11,2016-09-01,2016,24,11:20:00,12:02:00,42,Unknown sp 6,Grass bulb,,,,0.01,4.54,1.0,,162,author species exclusion
30.0,Plot12,2016-09-01,2016,24,13:50:00,14:33:00,43,Babiana ambigua,bobbejaantjie,Corm,0.11,6.0,0.06,27.22,6.0,,163,
31.0,Plot12,2016-09-01,2016,24,13:50:00,14:33:00,43,Chasmanthe aethiopica,pypie,Corm,,,0.09,40.82,3.0,,164,
33.0,Plot12,2016-09-01,2016,24,13:50:00,14:33:00,43,Pelargonium lobatum,platblaar patat,Tuber,,,0.29,131.54,4.0,,165,
51.0,Plot14,2016-09-01,2016,24,08:22:00,09:11:00,49,Babiana patula,bobbejaantjie,Corm,0.02,2.0,0.01,4.54,1.0,,166,
54.0,Plot14,2016-09-01,2016,24,08:22:00,09:11:00,49,Pelargonium lobatum,platblaar patat,Tuber,,,0.44,199.58,14.0,,167,
69.0,Plot16,2015-08-26,2015,24,12:01:00,14:01:00,120,Chasmanthe aethiopica,pypie,Corm,,,0.82,371.95,300.0,,168,
73.0,Plot16,2016-09-01,2016,24,15:18:00,16:05:00,47,Chasmanthe aethiopica,pypie,Corm,,,0.35,158.76,26.0,white: .24(26),169,
76.0,Plot17,2015-08-26,2015,24,16:26:00,17:20:00,54,Kedrostis nana,?,Tuber,,,0.195,88.45,5.0,,170,
83.0,Plot18,2015-08-27,2015,24,12:36:00,13:26:00,50,Ferraria crispa,?,Corm,,,0.21,95.25,50.0,3,171,
