camp,resource,day,daily_gain_kcal_per_capita,cumulative_gain_kcal_per_capita,complete_camp
11,tot_rat_only,26,354.82773333298974,113472.919394246,True
11,tot_rat_only,27,440.4758068969968,113913.395201143,True
11,tot_tuber,1,2101.73352147102,2101.73352147102,True
11,tot_tuber,2,294.5296706337299,2396.26319210475,True
11,tot_tuber,3,530.15340714073,2926.41659924548,True
11,tot_tuber,4,2606.1785161216003,5532.59511536708,True
11,tot_tuber,5,255.25904788257958,5787.85416324966,True
11,tot_tuber,6,2195.3368968533305,7983.19106010299,True
11,tot_tuber,7,1246.4495661219898,9229.64062622498,True
11,tot_tuber,8,1159.8221423895193,10389.4627686145,True
11,tot_tuber,9,2504.3947145402,12893.8574831547,True
11,tot_tuber,10,0.0,12893.8574831547,True
11,tot_tuber,11,1806.448646553601,14700.3061297083,True
11,tot_tuber,12,94.0858670079997,14794.3919967163,True
11,tot_tuber,13,1368.9493649664,16163.3413616827,True
11,tot_tuber,14,650.3215127593012,16813.662874442,True
11,tot_tuber,15,1602.3546888901,18416.0175633321,True
11,tot_tuber,16,0.0,18416.0175633321,True
11,tot_tuber,17,520.3357514529998,18936.3533147851,True
11,tot_tuber,18,2357.4154837524,21293.7687985375,True
11,tot_tuber,19,885.854624752199,22179.6234232897,True
11,tot_tuber,20,451.6121616384007,22631.2355849281,True
11,tot_tuber,21,790.3212828672004,23421.5568677953,True
11,tot_tuber,22,808.1480787213986,24229.7049465167,True
11,tot_tuber,23,1443.1953861053007,25672.900332622,True
11,tot_tuber,24,1040.320872345601,26713.2212049676,True
11,tot_tuber,25,1790.8758133936972,28504.0970183613,True
11,tot_tuber,26,153.22555484159966,28657.3225732029,True
11,tot_tuber,27,1269.1859025355006,29926.5084757384,True
